Entidad,Objeto,Sinónimo,Field 4,Field 5,Field 6,Field 7,Field 8
tamano,,,,,,,
,pequeña,pequeño,reducido,chico,reducida,chica,1
,mediana,2,,,,,
,normal,3,,,,,
,familiar,regular,4,,,,
,grande,5,,,,,
producto,,,,,,,
,Pepperoni,1,,,,,
,Salami,2,,,,,
,Hawaiana,3,,,,,
,Margherita,4,,,,,
,Jamon,5,,,,,
,Pollo,6,,,,,
,Frutas,7,,,,,
,Suprema,8,,,,,
,Americana,9,,,,,
,Meat Lovers,10,,,,,
,Vegetariana,11,,,,,
,Alemana,12,,,,,
,Continental,13,,,,,
,Suprema,14,,,,,
saludo,,,,,,,
,Hola,cuanto cuesta,que vendes,quiero comer,,,
,Buenos días,Buen día,"Hola, buenos días","Hola, buen día",Hola buenos días,Hola buen día,
,Buenas tardes,"Hola, buenas tardes",Hola buenas tardes,,,,
,Buenas noches,"Hola, buenas noches",Hola buenas noches,,,,
despedida,,,,,,,
,adios,chau,nos vemos,hasta luego,mucho gusto,hasta pronto,
formaPago,,,,,,,
,contado,contado,1,,,,
,tarjeta,débito,crédito,tarjeta,2,,
comprobante,,,,,,,
,boleta,1,,,,,
,factura,2,,,,,
tamanoEsp,,,,,,,
,pequeña,pequeño,reducido,chico,reducida,chica,1
,mediana,2,,,,,
,,,,,,,
,,,,,,,
